Date	Open	High	Low	Close	Shares Traded	Turnover (Rs. Cr)
03-Oct-16	8666.15	8745.2	8635	8738.1	141472076	7173.62
04-Oct-16	8770	8783.65	8736.1	8769.15	189990151	8251.59
05-Oct-16	8806.35	8806.95	8731.4	8743.95	162103951	6866.33
06-Oct-16	8768.7	8781.15	8684.65	8709.55	168713605	8114.93
07-Oct-16	8721.7	8723.7	8663.8	8697.6	155053800	8144.3
10-Oct-16	8735.35	8745.8	8703.95	8708.8	111794053	5159.83
13-Oct-16	8671.5	8681.55	8541.35	8573.35	218861324	10581.55
14-Oct-16	8594	8604.45	8549.8	8583.4	167848947	9613.47
17-Oct-16	8612.95	8615.4	8506.15	8520.4	203516577	8590.35
18-Oct-16	8556.05	8685.1	8555.9	8677.9	216626083	9162.11
19-Oct-16	8697.5	8698.75	8636.7	8659.1	177397872	7790.01
20-Oct-16	8693.35	8727	8678.3	8699.4	165952091	7120.32
21-Oct-16	8708.6	8709.1	8652.05	8693.05	162162047	8022.44
24-Oct-16	8709.85	8736.95	8684.15	8708.95	161966274	6876.28
25-Oct-16	8721.7	8722.65	8663.45	8691.3	195696479	8718.02
26-Oct-16	8657.3	8657.3	8596.6	8615.25	226133074	9696.9
27-Oct-16	8607.1	8624.85	8550.25	8615.25	250336333	12300.53
28-Oct-16	8625	8653.75	8581.75	8638	180906084	8953.72
30-Oct-16	8672.35	8678.25	8616.25	8625.7	16610872	805.89
01-Nov-16	8653.15	8669.6	8614.5	8626.25	170068995	8441.3
