Vendor_Formal_Name,Contact_Name,certification,Cert_Renewal_Date,Ethnicity,Address1,Address2,City,Borough,State,ZIP,MailingAddress1,MailingAddress2,MailingCity,MailingState,MailingZip,Website,Date_Of_Establishment,Aggregate_Bonding_Limit,Signatory_To_Union_Contracts,Business_Description,Goods_Materials_Suplier,Types_of_Construction_Projects,Job_Exp1_Name_of_Client,Job_Exp1_Value_of_Contract,Job_Exp1_Percent_Self_Performed,DATEOFJOB1,EXPERIENCE1,Job_Exp2_Name_of_Client,Job_Exp2_Value_of_Contract,Job_Exp2_Percent_Self_Performed,DATEOFJOB2,EXPERIENCE2,Job_Exp3_Name_of_Client,Job_Exp3_Value_of_Contract,Job_Exp3_Percent_Self_Performed,DATEOFJOB3,EXPERIENCE3,Job_Exp4_Name_of_Client,Job_Exp4_Value_of_Contract,,DATEOFJOB4,EXPERIENCE4
A & U General Contracting inc.,Farooq Rashid,MBE,8/31/2020,ASIAN,2647 Bedford Avenue,Floor 3,Booklyn,Brooklyn,NY,11210,2647 Bedford Avenue,Floor 3,Booklyn,New York,11210,,3/14/2008,,,"We are a General Contracting firm founded in 1990 and incorporated in 2008. We provide the following construction services: Roofing, Sidewalks, Brick Pointing, Stone/Masonry work, painting, and waterproofing. We have over 30+ year and 100% positive feedback and satisfaction guaranteed.",,,"Fred & Ivan Leist Special II, LLC",70000,100,6/17/2016,"Exterior renovation of commercial building: work included renovation of parapet wall, brick pointing, window sills & stone renovation, EDPM membrane roofing, sidewalk and waterproofing.",Meridian Properties LLC,80000,100,04-05-2017,"Exterior renovation of commercial building: work included change of EPDM roof membrane, waterproofing, 3000 square feet 4' concrete sidewalk and stone and masonry work.",Excel Bradshaw Management LLC,90700,100,12/20/2016,"Installed new membrane roof, painted all fire escapes, brick pointing north side of building, new sidewalk approx 4000 sq ftm and stone work.",,0,,,
ABM Heating LLC,Bassial Mullings,MBE,1/30/2020,BLACK,1195 Walton Avenue,,Bron,Bronx,NY,10452,1195 Walton Avenue,,Bronx,New York,10452,,6/17/2013,,,"ABM Heating LLC is a full service HVAC company specializing in heating. This company offers heating, ventilation, air condition installation and repair service for residential, commercial, and industrial properties. ABM mechanics and technicians are experienced in pipe fitting, plumbing and boiler making and boiler servicing.",,,"M42-43 Ithaca Street, LLC",2500,,02-01-2014,Refractory replacement of FST-100 steam boiler in apartment building,N/A,2500,,01-01-2014,Refractory replacement on FST-90 steam boiler in apartment building,N/A,220,,11-01-2013,Change of Pilot Assembly & New Thermocupler for Well-MC Lain Water Heater in Residential,,0,,,
Wilson IP Law,Mary Wilson,WBE,,NON-MINORITY,5204 Delafield Avenue,,Bronx,Bronx,NY,10471,5204 Delafield Ave,,Bronx,New York,10471,,01-01-2007,,,"Legal services for intellectual property, patent and trademarks for biotech, chemical and life science industries.",,,,0,,,,,0,,,,,0,,,,,0,,,
"1189 Webster Car Wash, Corp.",Jennelyn Popoter,MBE,1/31/2018,HISPANIC,1189 Webster Avenue,,Bronx,Bronx,NY,10456,1189 Webster Avenue,,Bronx,New York,10456,,7/31/2007,,,"We provide car washing services including waxing, polishing, shampooing, disinfecting, washing, and steam cleaning.",,,,0,,,,,0,,,,,0,,,,,0,,,
High Powered Auto Inc.,Ibrahim Issa,MBE,2/28/2019,HISPANIC,3424 East Tremont Avenue,,Bronx,Bronx,NY,10465,813 Morris Park Avenue,,Bronx,New York,10462,http://www.highpoweredauto.com,2/22/2012,,,"The business performs repairs, maintenance and servicing on all types of automobiles and automotive equipment. We also do 24 hour towing, roadside repairs, truck washing, glass & auto body work.",,,UPS,0,,10-01-2010,Automotive maintenance and repair shop,U-Houl Truck Rental,0,,03-01-2010,Automotive maintenance and repair shop,LK Comstock and Railworks Corp,0,,01-01-2011,Automotive maintenance and repair shop,,0,,,
"Mass Ideation, Inc.",Miguel Sanchez,MBE,3/30/2020,HISPANIC,1231 Lafayette Avenue,"2nd Floor, Suite L401",Bronx,Bronx,NY,10474,1231 Lafayette Avenue,"2nd Floor, Suite L401",Bronx,New York,10474,http://www.massideation.com,01-08-2009,,,"Provide digital creative technology agency specializing in digital strategy, design, motion graphics & emerging technologies services.",,,Nickelodeon Digital Media,0,100,1/14/2014,Provided mobile development and animation Services,Girl Scouts,0,100,12-01-2013,Provide cookie finder app animation servicces,I-hop,0,100,06-01-2014,Provide mobile app developmetn service.,,0,,,
SECTORWIDE HEALTH INC.,thelvis alston,MBE,2/27/2020,BLACK,1231 Lafayette Avenue,,Bronx,Bronx,NY,10474,1231 Lafayette Avenue,2nd Floor,Bronx,New York,10455,http://www.sector-widehealth.com,08-02-2013,,,"Sector-Wide Health professionals are the experts to help your small practice realize optimal revenue potential. Using proven strategies, we are here to help primary care providers in the community stay strong and viable to continue serving the inner communities of our nation. Utilizing government grants, process, enhancements, billing and management options, we work with you to define the road map.",,,Simone and Domozych Group,0,100,8/13/2013,"Gather Dr info, work on state, federal applications setup EHR memo",Family Dental Center,0,100,05-11-2013,"Gather Dr info, work on state, federal applications setup EHR memo",Circle Family Dental PC,0,100,3/18/2013,"Gather Dr info, work on state, federal applications setup EHR memo",Simone and Domozych Group,0,,,
"Omega Quality Properties, LLC",Jerome Frierson,MBE,7/30/2019,BLACK,1054 Evergreen Ave,,Bronx,Bronx,NY,10472,1054 Evergreen Ave,,Bronx,New York,10472,http://www.omegaqualityproperties.com,11-03-2002,,,"Operates within the housing market providing quality housing solutions. Our services include buy and hold, rent, rent-to-own, sell, control, deeds/liens, signel family, duplexes, small apartment buildings and town houses.",,,,0,,,,,0,,,,,0,,,,,0,,,
"Affordable Office Services, Inc.",Ana Pernas,"MBE,WBE",03/31/2018;03/31/2018,HISPANIC,728 East 136th Street,Suite #3,Bronx,Bronx,NY,10454,728 East 136th Street,Suite #3,Bronx,New York,10454,http://www.affordableoffices.net,9/14/2001,,,"We are a responsible furniture company with over 10 years excellent history. We can assist you with space planning, wood restoration, reupholstering, painting, storage long/short term, work stations (cubicles) installation and sale. We are equipped with a full professional staff.",,,,0,,,,,0,,,,,0,,,,,0,,,
Legacy Pathways LLC,Selma Bartholomew,"MBE,WBE",02/27/2022;02/27/2022,BLACK,3122 Fenton Avenue,,Bronx,Bronx,NY,10469,3122 Fenton Avenue,,Bronx,New York,10469,http://www.partnerwithlegacy.com,09-08-2008,,,Legacy Pathways LLC provides comprehensive educational services to schools and organizations. We provide professional development to teachers and stakeholders focused on improving teaching and learning to ensure that ALI children are prepared with cognitive knowledge and skills for college and career.,,,,0,,,,,0,,,,,0,,,,,0,,,
